name,batch,quantity,date
Paracetamol,B100,28,2026-04-01
Dolo,B101,7,2026-04-01
Crocin,B102,39,2026-04-02
Azithromycin,B103,29,2026-04-02
Amoxicillin,B104,40,2026-04-03
Ibuprofen,B105,27,2026-04-03
Cetirizine,B106,36,2026-04-04
Metformin,B107,28,2026-04-04
Atorvastatin,B108,20,2026-04-05
Aspirin,B109,13,2026-04-05
Pantoprazole,B110,39,2026-04-06
Omeprazole,B111,17,2026-04-06
Ciprofloxacin,B112,17,2026-04-07
Clarithromycin,B113,9,2026-04-07
Losartan,B114,38,2026-04-08
Telmisartan,B115,13,2026-04-08
Amlodipine,B116,16,2026-04-09
Glimepiride,B117,23,2026-04-09
Insulin,B118,6,2026-04-10
Vitamin D,B119,15,2026-04-10
Calcium,B120,40,2026-04-11
Zinc,B121,17,2026-04-11
Folic Acid,B122,17,2026-04-12
Ranitidine,B123,23,2026-04-12
Loratadine,B124,12,2026-04-13
Montelukast,B125,16,2026-04-13
Salbutamol,B126,28,2026-04-14
Diclofenac,B127,16,2026-04-14
Tramadol,B128,27,2026-04-15
Codeine,B129,28,2026-04-15
